Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},128874,126786,28,71.06339569255954,1.754990007611923,2176.6386999952374,168.26438226484782,430.02032981722806,423.05319565006965,28,76,110,140,200,250,300,330,1300,1800,2200
GET,/feed/{user_id}?with_fof=true,64276,63234,28,71.29720876680913,1.8790949980029836,2212.9918709979393,171.61856680565063,214.4729481457249,210.9960545623058,28,76,110,140,200,250,300,330,1200,1900,2200
POST,/likes,6656,20,29,75.16261787207249,2.053766991593875,1858.341447004932,31.307692307692307,22.20940853285744,0.06673500160113413,29,80,120,140,200,260,310,350,1600,1900,1900
POST,/posts,9662,9510,29,72.68686280103242,1.9786350021604449,2102.386710990686,32.07927965224591,32.2396792735079,31.732493261339282,29,77,110,140,200,250,310,340,1400,2100,2100
GET,/timeline/{user_id},80384,79101,28,71.7131378694629,1.8289710133103654,2118.322383990744,115.05529707404459,268.2213184352783,263.9402680825656,28,76,110,140,200,250,300,330,1500,1900,2100
GET,/users/{user_id},32269,31792,33,76.08585720906946,1.8674479943001643,2089.1169009992154,32.35306331153739,107.67358833334987,106.08195854516282,33,82,120,140,210,260,300,340,1500,1800,2100
,Aggregated,322121,310443,28,71.90872281191486,1.754990007611923,2212.9918709979393,135.12561739222218,1074.8372725379465,1035.8707051030442,28,77,110,140,200,250,300,330,1400,1800,2200
