Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},86307,84922,3,4.991122141692786,1.7839139909483492,127.79805698664859,165.9522054989746,288.2827012821908,283.65652332123943,3,4,4,4,7,16,30,42,74,110,130
GET,/feed/{user_id}?with_fof=true,43178,42468,3,5.190162064116947,1.7913040064740926,204.8143970023375,171.9722775487517,144.2231855580942,141.8516430654765,3,4,4,4,7,16,31,44,99,190,200
POST,/likes,4293,0,3,4.004937109609609,1.8765839922707528,45.222608983749524,31.313300722105755,14.339481578602491,0.0,3,4,4,5,6,7,10,17,34,45,45
POST,/posts,6532,6411,3,4.0557255922746185,1.992175995837897,48.77904400927946,32.62385180649112,21.818190932082803,21.414026648129646,3,4,4,5,6,7,10,20,34,49,49
GET,/timeline/{user_id},54018,53157,3,4.9391864713164475,1.7899420054163784,113.50131098879501,117.4209337628198,180.43096107918691,177.55504828180122,3,4,4,4,6,16,30,42,76,100,110
GET,/users/{user_id},21933,21570,4,5.823326263410634,1.8004879966611043,108.4126050118357,32.80226143254457,73.26062181772384,72.04812896586436,4,4,5,5,10,19,32,45,80,100,110
,Aggregated,216261,208528,3,5.054460955099486,1.7839139909483492,204.8143970023375,134.8281890863355,722.3551422478811,696.5253702825112,3,4,4,4,7,16,30,42,79,150,200
