Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},58046,57061,3,3.1354806579921113,1.7778239853214473,67.91092100320384,174.96240912379838,193.92896666587345,190.6381278110706,3,3,3,3,4,4,6,14,38,58,68
GET,/feed/{user_id}?with_fof=true,29374,28892,3,3.292871924464773,1.8168429960496724,190.00630598748103,170.565193708722,98.13715788931823,96.52681847001371,3,3,3,3,4,4,6,14,91,190,190
POST,/likes,2970,0,3,3.333107448037579,1.897634007036686,37.84249001182616,31.0003367003367,9.922630861689765,0.0,3,3,4,4,4,5,6,8,26,38,38
POST,/posts,4426,4372,3,3.30040709013537,1.908431004267186,35.94757002429105,31.403750564844103,14.787058651124209,14.606647180911668,3,3,4,4,4,5,6,7,29,36,36
GET,/timeline/{user_id},36289,35708,3,3.089903860757354,1.7963229911401868,60.231882001971826,114.34418143238997,121.23984893597977,119.2987551546189,3,3,3,3,4,4,6,13,35,51,60
GET,/users/{user_id},14595,14354,3,3.614355295073128,1.815359981264919,59.31349901948124,32.77992463172319,48.76121125466738,47.95604154501512,3,3,4,4,4,5,7,16,39,56,59
,Aggregated,145700,140387,3,3.212868207407447,1.7778239853214473,190.00630598748103,137.43975978037062,486.7768742586528,469.02639016163,3,3,3,3,4,5,6,14,39,160,190
