Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},59405,9,4,8.065425957433627,1.9060460035689175,2508.374391007237,5907.407827623937,330.8074789933095,0.050118126604490956,4,5,5,6,9,17,37,73,460,2100,2500
GET,/feed/{user_id}?with_fof=true,29952,2,4,105.39337811676273,1.9325760076753795,13854.378638003254,9375.658520299145,166.7931253397459,0.011137361467664657,4,5,5,6,10,24,370,5700,11000,12000,14000
POST,/likes,3052,0,4,6.045948548263353,2.549661003286019,1222.972541989293,179.97935779816513,16.995613599656267,0.0,4,5,6,6,8,10,15,27,180,1200,1200
POST,/posts,4448,0,5,7.89218257863559,3.3068050106521696,1972.0952339994255,227.5580035971223,24.769491904086195,0.0,5,6,7,7,9,11,16,22,590,2000,2000
GET,/timeline/{user_id},37687,5,4,33.31746438014634,1.8292109889443964,7425.218251999468,4839.876111125853,209.86687081593894,0.027843403669161642,4,5,5,6,10,21,140,330,4600,6500,7400
GET,/users/{user_id},14824,1,4,8.445371405202094,1.64025800768286,2309.955476986943,264.45716405828387,82.55012319833044,0.005568680733832329,4,5,5,6,9,17,41,96,500,2100,2300
,Aggregated,149368,17,4,33.9447218898219,1.64025800768286,13854.378638003254,5487.3298497670185,831.7827038510671,0.09466757247514958,4,5,5,6,9,19,59,210,8400,12000,14000
