Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},15781,0,5,7.821892860006307,2.61404798948206,147.23781499196775,8094.830745833598,87.99715320777236,0.0,5,5,6,7,20,27,35,40,60,120,150
GET,/feed/{user_id}?with_fof=true,7753,0,110.0,109.67017031496906,16.69137499993667,618.6805370089132,10075.414549206758,43.23185658829346,0.0,110,120,130,140,170,190,230,260,360,620,620
POST,/likes,775,0,3,3.3589257377259916,2.4087909841910005,18.250288005219772,178.42709677419356,4.321512815158962,0.0,3,3,4,4,4,4,5,5,18,18,18
POST,/posts,1174,0,3,3.209762672359819,2.2096330067142844,37.559759977739304,226.0366269165247,6.546394896769834,0.0,3,3,3,3,4,4,5,5,13,38,38
GET,/timeline/{user_id},9810,0,4,6.757139839651704,2.487298013875261,61.916336009744555,6690.741590214067,54.70198802156054,0.0,4,5,5,6,17,24,31,36,47,62,62
GET,/users/{user_id},3895,0,3,5.555610640278739,2.114785020239651,44.11717600305565,260.3558408215661,21.71908698715375,0.0,3,4,4,4,15,20,26,29,38,44,44
,Aggregated,39188,0,5,27.253449927801153,2.114785020239651,618.6805370089132,6964.2013371440235,218.51799251670892,0.0,5,7,20,32,110,130,170,190,280,450,620
