Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},15528,6,39,71.84195513503458,3.1003539988887496,532.2369649948087,9453.685729005667,51.840539329722574,0.02003112029741985,39,70,97,120,190,260,350,390,460,510,530
GET,/feed/{user_id}?with_fof=true,7637,0,1300.0,1671.8336419387751,17.708956002024934,5735.487931997341,11733.460390205579,25.496277618565898,0.0,1300,2000,2500,2900,3800,4500,5000,5200,5600,5700,5700
POST,/likes,752,0,4,3.9341082766692668,2.5994109964813106,26.14767700288212,178.8337765957447,2.510567077276621,0.0,4,4,4,4,5,5,6,6,26,26,26
POST,/posts,1152,0,4,3.7614784643235706,2.420171003905125,36.57226999348495,226.46006944444446,3.845975097104611,0.0,4,4,4,4,4,5,6,7,21,37,37
GET,/timeline/{user_id},9844,5,390.0,799.4503684038219,3.4437259964761324,5453.898851003032,6012.843051605038,32.86439136796683,0.016692600247849874,390,640,890,1200,2300,3200,4400,4800,5200,5500,5500
GET,/users/{user_id},3934,1,10,27.290497894419538,2.5384690015926026,236.01622100250097,268.39069649211996,13.133737875008281,0.003338520049569975,10,15,30,44,84,120,150,160,220,240,240
,Aggregated,38847,12,110.0,562.9211347265403,2.420171003905125,5735.487931997341,7646.585579324014,129.69148836564483,0.0400622405948397,110,280,500,750,2000,3100,4200,4700,5400,5600,5700
