Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},2273,575,21,69.0913810335037,2.5837220018729568,950.3916250250768,6279.145622525297,12.671829704995965,3.2055882447746065,21,29,35,41,140,540,640,690,830,950,950
GET,/feed/{user_id}?with_fof=true,969,245,19000.0,14287.572588785803,2.691583998966962,26390.36320798914,7440.166150670794,5.402113059454945,1.3658593390778757,19000,19000,19000,21000,23000,23000,24000,24000,26000,26000,26000
POST,/likes,121,32,24,51.3872992307956,2.9552929918281734,455.2958799758926,138.21487603305786,0.6745672654221345,0.17839795449180418,24,34,42,46,75,320,380,440,460,460,460
POST,/posts,178,47,17,37.05906597053726,2.968187996884808,369.9171589978505,172.6573033707865,0.9923386218606607,0.26202199565983736,17,24,29,32,44,260,320,350,370,370,370
GET,/timeline/{user_id},1327,354,11000.0,7586.720999043738,2.7094499964732677,12866.086497000651,5081.4325546345135,7.397940175332004,1.9735273715655837,11000,11000,11000,11000,12000,12000,12000,12000,13000,13000,13000
GET,/users/{user_id},538,145,12,34.37844523413498,2.6325049984734505,497.7340630139224,196.5,2.9993156098934577,0.8083657312909877,12,16,20,23,34,280,400,430,500,500,500
,Aggregated,5406,1398,28,4458.118996270674,2.5837220018729568,26390.36320798914,5249.399556048835,30.138104436959168,7.793760636860695,28,350,11000,11000,19000,19000,23000,23000,25000,26000,26000
