Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},20913,0,3,20.32419142242477,1.8467569898348302,5493.381257983856,6648.560034428346,116.47884945218436,0.0,3,3,4,4,9,21,100,230,3300,5200,5500
GET,/feed/{user_id}?with_fof=true,10638,0,3,134.93357906037383,1.897754002129659,9867.487180017633,11491.8780785862,59.25032278832962,0.0,3,3,4,4,12,120,2800,5700,7000,9900,9900
POST,/likes,1101,0,4,25.443676102229333,2.458092989400029,5230.625092983246,180.83197093551317,6.132224608944436,0.0,4,4,5,6,14,23,91,190,3600,5200,5200
POST,/posts,1554,0,5,21.892128799986686,3.1464349885936826,3523.4622650023084,228.492277992278,8.655292499818032,0.0,5,6,7,8,17,32,120,250,2700,3500,3500
GET,/timeline/{user_id},13111,0,3,60.95095116019788,1.8334479827899486,9063.328771007946,5373.6781328655325,73.024156991708,0.0,3,3,4,4,12,65,520,2700,4400,8500,9100
GET,/users/{user_id},5423,0,3,14.940242724369368,1.5877890109550208,5427.891595987603,265.44421906693714,30.204408768670007,0.0,3,3,4,4,8,19,81,210,2300,5400,5400
,Aggregated,52740,0,3,53.14080283960534,1.5877890109550208,9867.487180017633,6328.022487675389,293.74525510965447,0.0,3,3,4,4,10,32,250,1700,6500,7700,9900
