Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},43583,0,3,4.05912371556395,2.0838950003962964,136.42876499943668,7984.024367299176,145.57123964419,0.0,3,4,4,5,6,7,11,15,33,56,140
GET,/feed/{user_id}?with_fof=true,21603,0,4,6.605444218439247,2.1340710009098984,591.1294370016549,11604.416238485395,72.15601243680878,0.0,4,4,4,5,6,8,29,120,260,530,590
POST,/likes,2198,0,5,5.090261413084182,2.9256209963932633,29.326264004339464,180.52365787079162,7.341522720738124,0.0,5,5,6,6,7,8,9,10,21,29,29
POST,/posts,3335,0,5,5.944540632941559,3.60582499706652,42.862715003138874,228.12053973013494,11.139207585833322,0.0,5,6,6,7,8,9,11,12,31,43,43
GET,/timeline/{user_id},27137,0,3,6.264384428882903,2.123564001522027,682.9334950016346,6598.917750672514,90.64008283560986,0.0,3,4,4,5,6,8,21,130,250,670,680
GET,/users/{user_id},10678,0,3,3.451503088546488,1.8266680053784512,43.92582500440767,266.13401386027346,35.66550482804444,0.0,3,3,4,4,5,6,10,14,31,42,44
,Aggregated,108534,0,3,5.136375588933272,1.8266680053784512,682.9334950016346,7202.64729025006,362.5135700512245,0.0,3,4,4,5,6,7,13,24,170,510,680
