Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},8424,0,3,3.2371396876451803,1.8550899985712022,231.86065797926858,4780.917972459639,46.9810828552023,0.0,3,3,3,3,4,4,9,13,78,230,230
GET,/feed/{user_id}?with_fof=true,4212,0,3,34.28495796126328,1.9074779993388802,2922.358458978124,9026.74074074074,23.49054142760115,0.0,3,3,3,3,4,7,410,1000,2700,2900,2900
POST,/likes,413,0,3,4.225097685295764,2.5627000140957534,131.34645100217313,180.78208232445522,2.303322319468014,0.0,3,4,4,4,5,6,13,17,130,130,130
POST,/posts,639,0,4,4.837022119249816,3.255068004364148,51.808541000355035,228.4053208137715,3.563735985811286,0.0,4,4,5,5,6,8,11,23,52,52,52
GET,/timeline/{user_id},5208,0,3,13.329328529534667,1.8859159899875522,2039.5670540165156,3586.9149385560677,29.045284842105126,0.0,3,3,3,3,4,5,200,220,1700,2000,2000
GET,/users/{user_id},2118,0,2,3.0348554528924057,1.6248140018433332,157.04302900121547,263.81208687440983,11.812195333252431,0.0,2,3,3,3,4,4,6,14,60,160,160
,Aggregated,21014,0,3,12.009169932941582,1.6248140018433332,2922.358458978124,4651.903778433425,117.19616276344031,0.0,3,3,3,3,4,5,20,220,2200,2800,2900
