Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},5861,0,3,3.3066957085875637,2.2462490014731884,31.997979000152554,4100.293294659615,19.582472589401203,0.0,3,3,3,4,4,4,5,6,16,32,32
GET,/feed/{user_id}?with_fof=true,2900,0,3,7.319801362105425,2.3972470007720403,180.06870199315017,11193.241379310344,9.689331259045128,0.0,3,4,4,4,4,10,90,100,180,180,180
POST,/likes,269,0,4,4.0934269552516795,2.890649004257284,31.625177995010745,180.94795539033458,0.8987690029941859,0.0,4,4,4,4,4,5,6,13,32,32,32
POST,/posts,458,0,4,3.8086356484176394,2.5347330010845326,17.963770995265804,228.40174672489084,1.530246109187127,0.0,4,4,4,4,4,5,6,12,18,18,18
GET,/timeline/{user_id},3622,0,3,7.985790488617669,2.1996089999447577,206.04053400165867,3441.9790171176146,12.101640627676362,0.0,3,3,3,3,4,5,120,120,130,210,210
GET,/users/{user_id},1467,0,3,3.0420847007543013,1.9792279999819584,33.090782999352086,263.9945466939332,4.9014651575928285,0.0,3,3,3,4,4,4,5,6,11,33,33
,Aggregated,14577,0,3,5.271367625839005,1.9792279999819584,206.04053400165867,4767.759484118817,48.703924745896835,0.0,3,3,4,4,4,4,21,110,130,180,210
