Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},122614,120874,300.0,268.5142004482578,1.8013590015470982,1038.13280898612,151.04612850082373,408.84380977986194,403.0419582048627,300,360,400,420,460,500,550,600,740,880,1000
GET,/feed/{user_id}?with_fof=true,60963,60136,300.0,268.31575010321836,1.848038999014534,908.1917430012254,147.29234125617177,203.2748721647587,200.5173254679056,300,360,400,420,460,500,550,600,740,880,910
POST,/likes,6118,684,300.0,268.79182835454765,2.026357004069723,857.3691600031452,29.48218372016999,20.399843641290516,2.280727860516952,300,370,400,420,460,500,550,590,750,860,860
POST,/posts,9027,8909,300.0,270.28566794307864,1.9873179990099743,873.5286330047529,30.592001772460396,30.099605843401356,29.706146943487614,300,370,400,420,460,500,550,590,710,870,870
GET,/timeline/{user_id},76400,75315,300.0,267.0523253091904,1.8184049986302853,851.4829249907052,105.92693717277487,254.74796570686425,251.13014446613195,300,360,400,420,460,500,550,590,710,810,850
GET,/users/{user_id},30644,30195,310.0,276.389016255998,2.2157810017233714,875.7041560020298,31.49859678893095,102.17927566912498,100.68213121097861,310,370,400,420,470,500,560,610,760,830,880
,Aggregated,305766,296113,300.0,268.9564341538032,1.8013590015470982,1038.13280898612,121.05446648744464,1019.5453728053018,987.3584341538834,300,360,400,420,460,500,550,600,740,840,1000
