Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},25920,123,5,641.5753966976499,1.8034130043815821,154497.29282298358,2525.5712191358025,144.26879992764026,0.684608888545515,5,59,160,210,290,360,580,28000,112000,151000,154000
GET,/feed/{user_id}?with_fof=true,13173,58,6,723.2884956735325,1.8826309824362397,156478.5385389987,5293.554239732787,73.31994218544772,0.3228237035417876,6,83,170,230,320,430,3100,30000,111000,154000,156000
POST,/likes,1269,8,7,719.400328776963,2.572435012552887,136003.4327909816,178.75807722616233,7.063159996457387,0.04452740738507415,7,45,140,190,290,360,830,30000,87000,136000,136000
POST,/posts,1948,12,12,765.0496248524172,3.341956005897373,138411.8700120016,226.4075975359343,10.842423698265556,0.06679111107761122,12,85,170,230,310,390,710,30000,113000,138000,138000
GET,/timeline/{user_id},16208,57,6,584.58862426317,1.7921359976753592,154482.31707600644,1989.6792324777887,90.21252736216023,0.3172577776186533,6,80,170,230,310,390,1900,26000,84000,139000,154000
GET,/users/{user_id},6297,18,6,660.9826605908463,1.613959000678733,156495.45139001566,260.2145466094966,35.04863553797649,0.10018666661641684,6,42,150,210,290,360,820,30000,112000,156000,156000
,Aggregated,64815,276,6,651.052527318349,1.613959000678733,156495.45139001566,2618.992116022526,360.7554887079476,1.536195554785058,6,69,160,220,300,380,1200,30000,111000,151000,156000
