Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},27133,0,14,144.8275322709337,1.9421309989411384,9040.050846000668,5919.417756974902,151.762527035972,0.0,14,130,160,180,280,440,740,2000,8100,9000,9000
GET,/feed/{user_id}?with_fof=true,13379,0,23,307.20234574465627,2.0050249877385795,14920.99047100055,7094.050751177218,74.83252309786126,0.0,23,140,180,210,380,760,4300,7400,9800,14000,15000
POST,/likes,1417,0,30,146.3920168472479,3.231095994124189,8671.893819991965,180.74664784756527,7.9256809350227515,0.0,30,140,170,200,330,480,750,2000,4300,8700,8700
POST,/posts,1923,0,37,163.3959012771378,3.9547679771203548,9117.430712009082,228.4752990119605,10.755881748799402,0.0,37,150,170,200,330,510,790,1900,8300,9100,9100
GET,/timeline/{user_id},16829,0,22,188.4692243654219,1.9248149765189737,11080.936507001752,4209.774852932438,94.12934682815659,0.0,22,140,170,190,330,530,2000,3300,8200,9700,11000
GET,/users/{user_id},6864,0,14,150.34403877221226,1.670162018854171,8909.17639102554,262.9115675990676,38.39228929992672,0.0,14,140,160,180,300,450,720,2400,8200,8900,8900
,Aggregated,67545,0,19,188.98546867764657,1.670162018854171,14920.99047100055,4868.891390924568,377.7982489457387,0.0,19,140,170,190,310,500,1300,3300,8700,12000,15000
