Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/{user_id},105495,103885,44,235.02929937223698,2.108750006300397,3082.017923996318,156.76557182804873,352.7040931119846,347.3213395226174,44,280,440,510,670,830,1100,1300,2000,2600,3100
GET,/feed/{user_id}?with_fof=true,53054,52225,44,234.73351578810738,2.3112430062610656,2927.191598006175,162.43844007991856,177.37677573309855,174.60515913335607,44,270,430,510,670,830,1100,1300,2100,2700,2900
POST,/likes,5296,292,44,237.96764416451094,2.566616007243283,2680.922825995367,31.03644259818731,17.706250316328457,0.9762509615498318,45,270,440,510,670,840,1100,1400,2100,2700,2700
POST,/posts,7975,7861,45,233.59063276810525,2.481647999957204,2633.307535012136,31.391097178683385,26.663018556027087,26.281879481997358,45,280,440,500,660,810,1100,1200,1900,2600,2600
GET,/timeline/{user_id},65914,64884,44,233.9046991509419,2.389971006778069,3114.295064995531,114.85587280395667,220.3719379438206,216.9283129767099,44,270,430,500,670,830,1100,1300,2000,2700,3100
GET,/users/{user_id},26584,26167,62,245.09057812071316,2.5627899885876104,2872.59458200424,32.16728107132109,88.87895740356414,87.48479079066593,62,290,440,510,680,850,1100,1300,2200,2700,2900
,Aggregated,264318,255314,46,235.7168716936165,2.108750006300397,3114.295064995531,128.6195075628599,883.7010330648235,853.5977328668965,46,280,430,510,670,840,1100,1300,2000,2700,3100
